Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status
SWAG Academy 2016,PA,30,87,22,6,0,0.7333333333333333,152,45,81,0.7366666666666666,28,0.9333333333333333,5,0.16666666666666666,2025-10-12,0.507059212816084,30,28,5.066666666666666,1.5,4.702982101780966,1.9014148172466845,0.7229846742307094,0.7259402268891852,0.9294710597303408,0.8474676160621833,1.0,0.8474676160621833,1,Active
B2016 Elite Red,NY,30,68,29,1,0,0.9666666666666667,237,38,146,0.97,11,0.36666666666666664,9,0.3,2025-10-05,0.3506303007573221,30,11,7.9,1.2666666666666666,6.939824207044124,1.7172042909308949,0.9280316628250919,0.7495253692176274,0.8446058533891614,0.8422749184420406,1.0,0.8422749184420406,2,Active
Nationals Macomb 16 Boys Black - Premier,MI,30,48,23,7,0,0.7666666666666667,121,42,72,0.7666666666666666,12,0.4,10,0.3333333333333333,2025-10-12,0.49343676491047966,30,12,4.033333333333333,1.4,3.8871926280967557,1.8224674488256318,0.5930741971808283,0.7362155168951565,0.9256819854241877,0.8212671340697095,1.0,0.8212671340697095,3,Active
SLSG MO B 2016 Academy Green,MO,30,30,23,4,0,0.7666666666666667,133,31,76,0.7633333333333333,14,0.4666666666666667,10,0.3333333333333333,2025-10-12,0.3795599903868772,30,14,4.433333333333334,1.0333333333333334,4.202982101780966,1.5329937646151057,0.6461643864925285,0.7717190763859205,0.8788724153820147,0.8109001418048987,1.0,0.8109001418048987,4,Active
LFA Blue Star 2016B,MO,30,42,15,11,0,0.5,93,64,29,0.5033333333333334,21,0.7,11,0.36666666666666664,2025-10-12,0.674978011640308,30,21,3.1,2.1333333333333333,3.1503505228335977,2.4014148172466845,0.46268086146502463,0.6554503233465948,0.9574128949188532,0.7980739739136358,1.0,0.7980739739136358,5,Active
16 Kraze Black,FL,30,65,26,4,0,0.8666666666666667,135,47,80,0.8633333333333334,16,0.5333333333333333,9,0.3,2025-09-28,0.36832816383310507,30,16,4.5,1.5666666666666667,4.2556136807283345,1.9540463961940528,0.654710580203802,0.7189532733248771,0.8592404736915853,0.790277054920687,1.0,0.790277054920687,6,Active
SLSG MO B 2016 Academy Navy,MO,30,31,24,3,0,0.8,133,53,66,0.8033333333333333,13,0.43333333333333335,9,0.3,2025-10-12,0.33546938268625465,30,13,4.433333333333334,1.7666666666666666,4.202982101780966,2.111941133036158,0.6461643864925285,0.6973556865333592,0.8599125061321121,0.7846515182844448,1.0,0.7846515182844448,7,Active
Santa Clara Sporting 16B Green,CA,30,66,27,3,0,0.9,195,48,113,0.9033333333333333,6,0.2,10,0.3333333333333333,2025-10-11,0.2065569766310681,30,6,6.5,1.6,5.834561049149388,1.9803621856677371,0.8541433309416427,0.7154193973234687,0.7789511414207968,0.7812832305055004,1.0,0.7812832305055004,8,Active
U9 EPP Blue,MA,20,20,18,1,0,0.9,92,13,72,0.7833333333333333,10,0.5,18,0.9,2025-06-15,0.22666691079352663,20,10,4.6,0.65,4.239761423845597,1.437634394834786,0.6521467302076014,0.7826503335887495,0.8193590222117467,0.7785748260863181,1.0,0.7785748260863181,9,Active
TFA-SELA B2016 White,CA,30,131,28,2,0,0.9333333333333333,167,58,97,0.9333333333333333,0,0.0,2,0.06666666666666667,2025-10-12,0.257756458981965,30,0,5.566666666666666,1.9333333333333333,5.097718943886229,2.243520080404579,0.7757782606053685,0.6786603903211782,0.809360287461198,0.7765039026620282,1.0,0.7765039026620282,10,Active
