Rank,Team,PowerScore_adj,PowerScore,GP_Mult,SAO_norm,SAD_norm,SOS_norm,SOS_iterative_norm,GamesPlayed,GamesTotal,Status,is_active,LastGame
1,PRFC Scottsdale 14B Pre-Academy Phoenix Rising FC,0.361,0.3612,1.0,0.8921458002603075,0.9137865198526628,0.5682608689973228,0.5682608689973228,30,61,Active,True,2025-10-05
2,Phoenix United 2014 Premier Phoenix United Futbol Club,0.361,0.3612,1.0,0.8921458002603075,0.9137865198526628,0.467388415382021,0.467388415382021,30,57,Active,True,2025-10-04
3,Phoenix Premier FC 14B X-Factor Phoenix Premier FC,0.357,0.3566,1.0,0.8693328386781065,0.9137865198526628,0.303655102059357,0.303655102059357,30,31,Active,True,2025-09-21
4,AZEV B2014 (WHITE) AYSO United (AZ),0.354,0.3544,1.0,0.8921458002603075,0.2410521172022253,0.2783171195970566,0.2783171195970566,30,45,Active,True,2025-09-27
5,Southeast 2014 Boys Black Next Level Soccer (AZ),0.352,0.352,1.0,0.8526754208954903,0.907438944141591,0.9469345623929776,0.9469345623929776,27,30,Active,True,2025-09-14
6,PSG 14B Blue Paris Saint-Germain Academy Phoenix,0.33,0.3299,1.0,0.8730855086647805,0.7763429266687903,0.4116186174165606,0.4116186174165606,30,44,Active,True,2025-10-04
7,2014B West Phoenix United Futbol Club,0.33,0.3303,1.0,0.8363613064842915,0.814895301069765,0.7313397297552503,0.7313397297552503,30,66,Active,True,2025-09-28
8,Madison FC 14 Gold Boys Madison FC,0.325,0.3249,1.0,0.8599835203142444,0.7613118740700024,0.5881700306253672,0.5881700306253672,30,49,Active,True,2025-10-04
9,14 Pre-MLSN #2 FC Tucson Youth Soccer,0.314,0.3138,1.0,0.8276843238371441,0.7413579241534378,0.5716229978580076,0.5716229978580076,30,43,Active,True,2025-10-04
10,Scottsdale 14 Sandsharks Select North Scottsdale Soccer Club,0.309,0.309,1.0,0.6313267693482679,0.9137865198526628,0.4351635585071371,0.4351635585071371,25,31,Active,True,2025-10-04
11,FC Elite Arizona 2014 Boys (ARCHIVED) FC Elite Arizona,0.308,0.3083,1.0,0.6140337136207865,0.8884679153766017,0.3875637309012453,0.3875637309012453,30,47,Active,True,2025-06-01
12,Real Arizona 2014 Real Arizona FC,0.307,0.307,1.0,0.8921458002603075,0.6427348954220107,0.325400559453321,0.325400559453321,30,47,Active,True,2025-04-27
13,Dynamos SC 14B SC Dynamos SC,0.299,0.2994,1.0,0.5830853076473764,0.9137865198526628,0.9191752674287856,0.9191752674287856,30,42,Active,True,2025-09-28
14,14B GSA RSL-AZ North,0.296,0.2964,1.0,0.7288568286574434,0.7531053188192759,0.8731480571210039,0.8731480571210039,30,51,Active,True,2025-09-28
15,AZSC 2014B Pre-NL Premier 2 Arizona Soccer Club,0.296,0.296,1.0,0.5822531040774815,0.8135870805810097,0.3233478882999163,0.3233478882999163,30,38,Active,True,2025-09-20
16,Kingman SC B14 McGill Kingman SC,0.294,0.2944,1.0,0.7063626956207549,0.7658530764059378,0.3264841707648573,0.3264841707648573,23,23,Active,True,2025-09-07
17,Phoenix Premier FC 14B SW Black Phoenix Premier FC,0.292,0.2922,1.0,0.8869406512911505,0.5050948669054461,0.3522159540996064,0.3522159540996064,24,28,Active,True,2025-09-28
18,14 Pre-MLSN #1 FC Tucson Youth Soccer,0.284,0.2836,1.0,0.6821759086753301,0.7358202233649384,0.7410388803631898,0.7410388803631898,30,39,Active,True,2025-10-04
19,2014 Rush Boys Phoenix Rush,0.276,0.2756,1.0,0.7369183759255131,0.6288465595930604,0.2483414280199783,0.2483414280199783,30,42,Active,True,2025-10-04
20,Brazas 2014 Boys Black Marcos Brazas Futebol Club,0.271,0.2711,1.0,0.6915980849327764,0.6636678820851681,0.7656072401457118,0.7656072401457118,27,35,Active,True,2025-04-27
21,Excel Soccer Academy 14B Red Excel Soccer Academy,0.27,0.2698,1.0,0.5451383795283872,0.8040124359104072,0.85693037823711,0.85693037823711,30,40,Active,True,2025-10-05
22,Legends FC AZ 14B Black Dynamos SC,0.269,0.269,1.0,0.8318670921588155,0.5130761166802053,0.473761260208792,0.473761260208792,30,39,Active,True,2025-04-13
23,AZSC 14B Perez Arizona Soccer Club,0.268,0.2681,1.0,0.7234901362023497,0.6171589828091243,0.6674171583705617,0.6674171583705617,30,56,Active,True,2025-04-27
24,Playmaker Futbol Academy 14B Black Playmaker Futbol Academy,0.268,0.2684,1.0,0.7037979617303519,0.6380818302371226,0.6464535997065816,0.6464535997065816,30,71,Active,True,2025-09-28
25,14B Negrete Pre MLS Next RSL-AZ Southern AZ,0.263,0.263,1.0,0.699163061230583,0.6158782049833186,0.564181448701467,0.564181448701467,21,25,Active,True,2025-10-04
26,FC Deportivo AZ 2014B (Gallegos) FC Deportivo Arizona,0.262,0.2621,1.0,0.8632753940198425,0.4473581260612943,0.4604080253811985,0.4604080253811985,24,24,Active,True,2025-10-04
27,AZ Arsenal 14 Boys Select Arizona Arsenal Soccer Club,0.262,0.2621,1.0,0.5845410641947019,0.6001524660139373,0.2304050832345841,0.2304050832345841,29,31,Active,True,2025-10-04
28,2014 Tuzos Academy FV FBSL,0.261,0.333,0.7836612788698953,0.8921458002603075,0.7279357756639672,0.4679299729744881,0.4679299729744881,17,21,Active,True,2025-10-04
29,2014 Elite Phoenix United Futbol Club,0.258,0.3612,0.7155417527999328,0.8921458002603075,0.9137865198526628,1.0,1.0,16,16,Active,True,2025-09-28
30,Tuzos Royals 14 Pre-Academy FBSL,0.25,0.2495,1.0,0.5174027957938984,0.730048156949321,0.3913299272444198,0.3913299272444198,30,57,Active,True,2025-09-14
31,CCV Stars 14 Boys West Pre-ECNL CCV STARS,0.249,0.2491,1.0,0.636167972422292,0.6095525720435928,0.7354214595793133,0.7354214595793133,21,25,Active,True,2025-09-13
32,Southeast 2014 Boys Red Next Level Soccer (AZ),0.248,0.2479,1.0,0.5136020474654193,0.725802441375693,0.8259198841713644,0.8259198841713644,30,47,Active,True,2025-10-05
33,AZEV B2014 (NAVY) AYSO United (AZ),0.244,0.2442,1.0,0.56010634206273,0.6610426733563949,0.5386046743484075,0.5386046743484075,30,54,Active,True,2025-09-27
34,PRFC Southeast Valley 14B Predator Phoenix Rising FC,0.243,0.2434,1.0,0.6614722686132988,0.2133032190602978,0.390146839513128,0.390146839513128,30,59,Active,True,2025-10-04
35,14B Moyer RSL-AZ South,0.239,0.2393,1.0,0.4865004133303579,0.7101568227821129,0.5140773591983682,0.5140773591983682,26,31,Active,True,2025-09-20
36,NOS Santos 14 Boys Blue NOS Santos SC,0.238,0.2384,1.0,0.7476497621830351,0.4444660216720198,0.6773110838970291,0.6773110838970291,27,37,Active,True,2025-10-04
37,PRFC West Valley 14B Predator Phoenix Rising FC,0.238,0.2383,1.0,0.7096286642962443,0.4276262595767762,0.2900841422411784,0.2900841422411784,30,37,Active,True,2025-10-04
38,RSL-AZ Yuma 14 Boys Quinonez RSL-AZ Yuma,0.234,0.2336,1.0,0.7953138680113505,0.3726455721944143,0.4097122254797519,0.4097122254797519,22,26,Active,True,2025-10-04
39,PRFC Desert Foothills 14B Pre-Academy Phoenix Rising Desert Foothills,0.233,0.2331,1.0,0.6131550898854742,0.5521174921800382,0.6615334183489432,0.6615334183489432,30,55,Active,True,2025-10-05
40,2014 Boys Yellow Thunderbird FC,0.233,0.2334,1.0,0.4762669839245645,0.6907942965714065,0.5468186493717615,0.5468186493717615,30,50,Active,True,2025-09-20
41,14B Engilman RSL-AZ North,0.231,0.2308,1.0,0.6395073079201326,0.5142822545480729,0.5476954955437718,0.5476954955437718,30,52,Active,True,2025-09-20
42,Southeast 2014 Boys Green Next Level Soccer (AZ),0.225,0.2251,1.0,0.5392661450669474,0.5863293676675015,0.4058807951405782,0.4058807951405782,30,36,Active,True,2025-10-05
43,Phoenix Premier FC 14B Black Phoenix Premier FC,0.221,0.2208,1.0,0.7029172222728394,0.4008858764116493,0.6231230133036484,0.6231230133036484,30,44,Active,True,2025-10-04
44,Scottsdale 14 Sandsharks Black North Scottsdale Soccer Club,0.22,0.2196,1.0,0.2471869242312732,0.7759759362488035,0.2668763676712704,0.2668763676712704,23,26,Active,True,2025-09-13
45,West Valley 2014 Boys Martinez Pre-Elite64 RSL-AZ West Valley,0.214,0.2139,1.0,0.4761493006155547,0.593161276032818,0.5181891276189718,0.5181891276189718,30,50,Active,True,2025-04-27
